transformer_id,risk_score,risk_level,failure
3598,0.9983961,High,1
2103,0.9980831,High,1
3484,0.99765646,High,1
2426,0.9971745,High,1
3393,0.99645835,High,1
2225,0.99623823,High,1
2637,0.9958248,High,1
2620,0.99559206,High,1
612,0.9954455,High,1
3687,0.99525225,High,1
2358,0.9952513,High,1
3244,0.99515176,High,1
3605,0.9949673,High,1
2535,0.99465275,High,1
3012,0.9942036,High,1
3475,0.99413055,High,1
3283,0.99386567,High,1
2090,0.9934576,High,1
2222,0.99288636,High,1
3523,0.9920007,High,1
3210,0.9914841,High,1
2178,0.9911842,High,1
2293,0.99101603,High,1
3349,0.9906452,High,1
2107,0.99018174,High,1
3613,0.9895216,High,1
3269,0.9893497,High,1
2059,0.9889215,High,1
2883,0.98826724,High,1
3258,0.9879373,High,1
3273,0.98783594,High,1
3654,0.9876195,High,1
2460,0.98746836,High,1
3724,0.9872895,High,1
3205,0.9871501,High,1
2918,0.9871451,High,1
2283,0.98663354,High,1
2254,0.9865984,High,1
3351,0.98643535,High,1
2659,0.9861063,High,1
2866,0.9860933,High,1
2942,0.98609275,High,1
2948,0.98596525,High,1
3117,0.98588645,High,1
3667,0.9856698,High,1
3058,0.9856081,High,1
3032,0.98528486,High,1
2991,0.98483837,High,1
2649,0.9844252,High,1
2708,0.98415196,High,1
2046,0.9840714,High,1
2163,0.9839939,High,1
2233,0.9834691,High,1
3718,0.98335254,High,1
3495,0.9824327,High,1
2580,0.9822144,High,1
3544,0.9816859,High,1
3526,0.9815545,High,1
2396,0.9809367,High,1
2534,0.9800688,High,1
3054,0.9800688,High,1
2981,0.97940904,High,1
3621,0.9792971,High,1
2420,0.97925663,High,1
2900,0.97905934,High,1
2323,0.97875136,High,1
2988,0.9783871,High,1
1601,0.9783725,High,0
3212,0.97833735,High,1
1034,0.977999,High,0
1533,0.9778958,High,0
3249,0.9778919,High,1
3553,0.977852,High,1
2632,0.97783184,High,1
3727,0.97718996,High,1
3490,0.977097,High,1
2232,0.9767759,High,1
2699,0.9766266,High,1
2268,0.97625357,High,1
2117,0.975717,High,1
3585,0.97508425,High,1
2804,0.97506434,High,1
2057,0.9748819,High,1
2892,0.974483,High,1
2855,0.9741698,High,1
3555,0.97346985,High,1
2266,0.97280294,High,1
