transformer_id,transformer_type,risk_score,risk_level,root_cause,maintenance_action
17,Distribution Transformer,0.9936925,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
29,Distribution Transformer,0.99261284,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
32,Distribution Transformer,0.99211603,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
33,Distribution Transformer,0.9900322,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
18,Distribution Transformer,0.9896157,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
35,Distribution Transformer,0.989571,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
12,Distribution Transformer,0.98760843,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
33,Distribution Transformer,0.986177,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
27,Distribution Transformer,0.9860752,High,Thermal Overload caused by excessive load and temperature stress,Immediate inspection required — probable cause: Thermal Overload caused by excessive load and temperature stress
29,Distribution Transformer,0.9860482,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
39,Distribution Transformer,0.98522097,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
9,Distribution Transformer,0.98464835,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
33,Distribution Transformer,0.983844,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
6,Distribution Transformer,0.98299086,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
28,Distribution Transformer,0.9816828,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
19,Distribution Transformer,0.98034096,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
16,Distribution Transformer,0.97948635,High,Sudden Load Variation caused by irregular demand pattern,Immediate inspection required — probable cause: Sudden Load Variation caused by irregular demand pattern
6,Distribution Transformer,0.97948426,High,Voltage Instability caused by abnormal voltage fluctuation,Immediate inspection required — probable cause: Voltage Instability caused by abnormal voltage fluctuation
32,Distribution Transformer,0.9785639,High,Electrical Stress caused by high current flow,Immediate inspection required — probable cause: Electrical Stress caused by high current flow
41,Distribution Transformer,0.9783086,High,General Degradation Risk based on combined operating conditions,Immediate inspection required — probable cause: General Degradation Risk based on combined operating conditions
