transformer_id,risk_score,risk_level
35,0.9962262,High
12,0.9911999,High
45,0.9911775,High
26,0.9896271,High
27,0.98882604,High
19,0.9883265,High
35,0.98811215,High
20,0.98763543,High
47,0.98748034,High
18,0.9869544,High
34,0.985271,High
47,0.9850653,High
8,0.98442626,High
26,0.98419446,High
16,0.98395073,High
19,0.9829249,High
29,0.98125595,High
45,0.98049027,High
25,0.979571,High
7,0.9792621,High
15,0.97833455,High
17,0.9774631,High
43,0.97685266,High
39,0.9755323,High
15,0.9754004,High
41,0.9741581,High
46,0.97399706,High
36,0.97360706,High
28,0.9733305,High
33,0.97146904,High
7,0.9711003,High
4,0.9674789,High
19,0.9668915,High
48,0.9663393,High
5,0.96506995,High
35,0.96435183,High
41,0.9628787,High
35,0.96244776,High
28,0.9623382,High
25,0.96145165,High
1,0.9610485,High
31,0.96072567,High
26,0.95992005,High
33,0.9596135,High
26,0.9593059,High
47,0.95856476,High
18,0.95557505,High
43,0.95425344,High
18,0.9527095,High
40,0.9502279,High
40,0.9496243,High
32,0.9496187,High
3,0.9494054,High
32,0.9492829,High
40,0.9457272,High
35,0.9450673,High
12,0.94494176,High
36,0.9426078,High
5,0.9416649,High
6,0.94111407,High
45,0.9381922,High
18,0.93743896,High
23,0.936534,High
47,0.934972,High
44,0.93449455,High
33,0.9330321,High
39,0.93238723,High
27,0.9316897,High
11,0.9312247,High
48,0.93095785,High
15,0.9282816,High
26,0.9280701,High
12,0.92788136,High
32,0.9270887,High
38,0.9269711,High
9,0.9262788,High
2,0.9228588,High
26,0.9210994,High
34,0.91991156,High
33,0.91617477,High
41,0.9137769,High
48,0.9136122,High
31,0.913174,High
38,0.9122984,High
24,0.90935636,High
38,0.9082575,High
14,0.90681255,High
4,0.90650827,High
48,0.905074,High
19,0.9044294,High
4,0.904328,High
3,0.90347284,High
9,0.90288657,High
3,0.89866287,High
20,0.8980925,High
1,0.8913249,High
11,0.88825846,High
49,0.8857043,High
33,0.8836679,High
17,0.88176095,High
15,0.8812874,High
26,0.88055176,High
9,0.88027555,High
16,0.8778281,High
39,0.8741915,High
7,0.8713839,High
19,0.87072307,High
9,0.8704027,High
42,0.86975396,High
5,0.86654633,High
18,0.8641706,High
6,0.8617955,High
14,0.8617276,High
27,0.8603915,High
14,0.86015636,High
6,0.85929114,High
42,0.85916907,High
48,0.85755163,High
15,0.85616153,High
28,0.85541713,High
30,0.8534172,High
32,0.851382,High
6,0.8484223,High
49,0.8459746,High
47,0.8452966,High
44,0.8391368,High
21,0.8378024,High
4,0.8326621,High
5,0.8307187,High
20,0.83011603,High
44,0.8242955,High
23,0.818371,High
12,0.8175636,High
41,0.81308895,High
9,0.80299085,High
18,0.7986642,High
17,0.7912116,High
2,0.7855749,High
44,0.78234303,High
20,0.7766334,High
8,0.77206475,High
29,0.7673824,High
28,0.7671631,High
39,0.7577247,High
7,0.7506187,High
18,0.74954814,High
20,0.74400103,High
21,0.7408305,High
40,0.7400578,High
41,0.73151505,High
18,0.7234827,High
17,0.71787715,High
16,0.7126339,High
42,0.70577854,High
8,0.70527846,High
36,0.7006781,High
47,0.69540894,Medium
18,0.6949131,Medium
43,0.68334925,Medium
4,0.6800846,Medium
11,0.6781885,Medium
29,0.66193444,Medium
45,0.64822316,Medium
42,0.6479911,Medium
49,0.64691323,Medium
21,0.64588624,Medium
37,0.64475983,Medium
16,0.64326894,Medium
1,0.6428313,Medium
26,0.6414918,Medium
45,0.6357947,Medium
24,0.63576096,Medium
26,0.6352001,Medium
15,0.6343751,Medium
36,0.63266283,Medium
29,0.6215816,Medium
49,0.6146192,Medium
7,0.6034082,Medium
27,0.59427327,Medium
32,0.59329563,Medium
39,0.5881115,Medium
21,0.578025,Medium
9,0.5777678,Medium
30,0.5720514,Medium
31,0.56881183,Medium
5,0.5625588,Medium
43,0.5505717,Medium
18,0.5500421,Medium
28,0.5483285,Medium
36,0.5468907,Medium
3,0.53848666,Medium
31,0.5357268,Medium
34,0.5308739,Medium
9,0.5296025,Medium
35,0.52794874,Medium
30,0.52480733,Medium
2,0.51159585,Medium
34,0.50924945,Medium
13,0.5043446,Medium
8,0.5016323,Medium
37,0.49987045,Medium
15,0.49838814,Medium
38,0.49686113,Medium
22,0.49469292,Medium
10,0.4604923,Medium
6,0.45317587,Medium
26,0.4527232,Medium
2,0.4523742,Medium
14,0.45094633,Medium
3,0.44985276,Medium
48,0.4471508,Medium
13,0.434475,Medium
35,0.43027002,Medium
1,0.42376277,Medium
45,0.41849574,Medium
29,0.41615734,Medium
17,0.4099181,Medium
2,0.40863484,Medium
1,0.40852156,Medium
1,0.40728015,Medium
14,0.4004929,Medium
16,0.39806846,Low
30,0.39471152,Low
11,0.39211646,Low
30,0.39078346,Low
14,0.38739315,Low
46,0.38627502,Low
45,0.38578045,Low
41,0.38319063,Low
34,0.3823908,Low
25,0.38024452,Low
8,0.37809604,Low
36,0.3756308,Low
13,0.37334904,Low
38,0.36380637,Low
26,0.36111903,Low
4,0.36106023,Low
35,0.36081338,Low
40,0.35552463,Low
7,0.35422716,Low
1,0.353351,Low
40,0.35175964,Low
33,0.3514773,Low
